product_id,price,open_24h,volume_24h,low_24h,high_24h,best_bid,best_ask,time,ingested_at
SOL-USD,80.6,81.92,1495144.49929062,78.36,82.16,80.590,80.600,2026-04-07T19:24:41.809504Z,2026-04-07T19:24:42.108507
ETH-USD,2094.61,2144.29,192304.49814208,2059.82,2155.73,2094.60,2094.61,2026-04-07T19:24:42.038505Z,2026-04-07T19:24:42.225030
BTC-USD,68554.39,69727.98,7965.08466406,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:41.942076Z,2026-04-07T19:24:42.230112
BTC-USD,68554.39,69727.98,7965.08466413,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:42.361277Z,2026-04-07T19:24:42.421475
SOL-USD,80.6,81.92,1495144.50529062,78.36,82.16,80.590,80.600,2026-04-07T19:24:42.441201Z,2026-04-07T19:24:42.494749
BTC-USD,68554.4,69727.98,7965.08466423,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:42.491719Z,2026-04-07T19:24:42.557020
ETH-USD,2094.61,2144.29,192304.56809644,2059.82,2155.73,2094.60,2094.61,2026-04-07T19:24:42.650654Z,2026-04-07T19:24:42.704652
BTC-USD,68554.39,69727.98,7965.08466427,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:42.803385Z,2026-04-07T19:24:42.860044
BTC-USD,68554.4,69727.98,7965.08743171,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:42.803724Z,2026-04-07T19:24:42.861896
BTC-USD,68554.4,69727.98,7965.08771520,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:43.157203Z,2026-04-07T19:24:43.214802
BTC-USD,68554.4,69727.98,7965.08866882,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:43.270103Z,2026-04-07T19:24:43.324809
BTC-USD,68554.39,69727.98,7965.08866886,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:43.273987Z,2026-04-07T19:24:43.329002
BTC-USD,68554.39,69727.98,7965.08866892,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:43.683578Z,2026-04-07T19:24:43.737225
BTC-USD,68554.4,69727.98,7965.08936076,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:43.927651Z,2026-04-07T19:24:43.982740
BTC-USD,68554.4,69727.98,7965.09489489,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:44.185204Z,2026-04-07T19:24:44.240314
BTC-USD,68554.39,69727.98,7965.09489497,67710.01,69997.76,68554.39,68554.40,2026-04-07T19:24:44.208772Z,2026-04-07T19:24:44.264809
